title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Legend of Zorro",movie,"Action, Adventure, Romance",2005,tt0386140,6,110803,
"Con Air",movie,"Action, Crime, Thriller",1997,tt0118880,6.9,329162,
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,69368,
"The Cider House Rules",movie,"Drama, Romance",1999,tt0124315,7.4,107102,
"Jesus Camp",movie,Documentary,2006,tt0486358,7.4,29114,
"The Piano Teacher",movie,"Drama, Music",2001,tt0254686,7.5,75668,
"Phone Booth",movie,"Crime, Thriller",2002,tt0183649,7.1,293884,
Transformers,movie,"Action, Adventure, Sci-Fi",2007,tt0418279,7.1,694820,
Sunflower,movie,"Drama, War",1970,tt0065782,7.3,4812,
"The Beach",movie,"Adventure, Drama, Romance",2000,tt0163978,6.6,260288,
"Sweet November",movie,"Drama, Romance",2001,tt0230838,6.7,96673,
"The Others",movie,"Horror, Mystery, Thriller",2001,tt0230600,7.6,408257,
Zodiac,movie,"Crime, Drama, Mystery",2007,tt0443706,7.7,631743,
"The Bow",movie,"Drama, Romance",2005,tt0456470,7.1,12017,
Bandidas,movie,"Action, Comedy, Crime",2006,tt0416496,5.7,38102,
"Death Proof",movie,"Drama, Thriller",2007,tt1028528,7,323362,
"Planet Terror",movie,"Action, Comedy, Horror",2007,tt1077258,7,228002,
"The Mourning Forest",movie,Drama,2007,tt1016205,6.7,2983,
"Secret Sunshine",movie,Drama,2007,tt0817225,7.5,10131,
Hidalgo,movie,"Action, Adventure, Biography",2004,tt0317648,6.7,87165,
Hostage,movie,"Action, Crime, Drama",2005,tt0340163,6.5,114692,
"Say Anything",movie,"Comedy, Drama, Romance",1989,tt0098258,7.3,99056,
"Training Day",movie,"Crime, Drama, Thriller",2001,tt0139654,7.8,493586,
"The Lake House",movie,"Drama, Fantasy, Romance",2006,tt0410297,6.8,161219,
"I, Robot",movie,"Action, Mystery, Sci-Fi",2004,tt0343818,7.1,594494,
"The Getaway",movie,"Action, Adventure, Crime",1994,tt0109890,5.8,20492,
"Gappa the Triphibian Monster",movie,"Action, Adventure, Comedy",1967,tt0061550,4.4,1806,
Payback,movie,"Action, Crime, Drama",1999,tt0120784,7.1,149438,
"L.A. Confidential",movie,"Crime, Drama, Mystery",1997,tt0119488,8.2,638581,
"The Perfect Storm",movie,"Action, Adventure, Drama",2000,tt0177971,6.5,183101,
"The Time Machine",movie,"Action, Adventure, Sci-Fi",2002,tt0268695,6,133053,
"Cop Land",movie,"Crime, Drama, Thriller",1997,tt0118887,7,110764,
Valkyrie,movie,"Drama, History, Thriller",2008,tt0985699,7.1,265904,
"Paris, Je T'aime",movie,"Comedy, Drama, Romance",2006,tt0401711,7.2,75433,
Big,movie,"Comedy, Drama, Fantasy",1988,tt0094737,7.3,249281,
Beowulf,movie,"Action, Adventure, Animation",2007,tt0442933,6.3,177052,
"Executive Decision",movie,"Action, Adventure, Thriller",1996,tt0116253,6.5,63322,
Taxi,movie,"Action, Comedy, Crime",1998,tt0152930,7,92500,
"10 Items or Less",movie,"Comedy, Drama",2006,tt0499603,6.5,16648,
"The Young Girls of Rochefort",movie,"Comedy, Drama, Musical",1967,tt0062873,7.7,12842,
"Joint Security Area",movie,"Action, Drama, Thriller",2000,tt0260991,7.7,36099,
"The Princess Bride",movie,"Adventure, Comedy, Family",1987,tt0093779,8,464373,
"The Bourne Identity",movie,"Action, Mystery, Thriller",2002,tt0258463,7.8,592841,
"The Bourne Supremacy",movie,"Action, Thriller",2004,tt0372183,7.7,498693,
"The Bourne Ultimatum",movie,"Action, Mystery, Thriller",2007,tt0440963,8,669989,
"The Specialist",movie,"Action, Drama, Thriller",1994,tt0111255,5.6,71472,
"Sleepy Hollow",movie,"Fantasy, Horror, Mystery",1999,tt0162661,7.3,397636,
"The Ring",movie,"Horror, Mystery",1998,tt0178868,7.2,81412,
"Addams Family Values",movie,"Comedy, Fantasy",1993,tt0106220,6.8,116463,
"The Astronaut's Wife",movie,"Drama, Sci-Fi, Thriller",1999,tt0138304,5.4,58221,
"The Addams Family",movie,"Comedy, Fantasy",1991,tt0101272,6.9,190378,
Roar,movie,"Adventure, Comedy, Thriller",1981,tt0083001,6.1,4922,
"One on Top of the Other",movie,"Drama, Horror, Mystery",1969,tt0065148,6.6,2850,
"The Searchers",movie,"Adventure, Western",1956,tt0049730,7.8,99844,
"Battle Royale",movie,"Adventure, Drama, Thriller",2000,tt0266308,7.5,200269,
"Battle Royale II",movie,"Action, Adventure, Drama",2003,tt0338763,4.6,21877,
"Good Night, and Good Luck.",movie,"Biography, Drama, History",2005,tt0433383,7.4,102776,
"Under Siege 2: Dark Territory",movie,"Action, Adventure, Thriller",1995,tt0114781,5.6,51573,
"Black Sheep",movie,"Comedy, Horror, Sci-Fi",2006,tt0779982,5.8,42693,
"Flags of Our Fathers",movie,"Action, Adventure, Drama",2006,tt0418689,7.1,131690,
Beetlejuice,movie,"Comedy, Fantasy",1988,tt0094721,7.5,401407,
"That Man from Rio",movie,"Action, Adventure, Comedy",1964,tt0058203,7,6637,
"Shoot 'Em Up",movie,"Action, Comedy, Thriller",2007,tt0465602,6.6,157032,
"Women on the Verge of a Nervous Breakdown",movie,"Comedy, Drama",1988,tt0095675,7.5,48590,
Scream,movie,"Horror, Mystery",1996,tt0117571,7.4,414867,
"Scream 2",movie,"Horror, Mystery",1997,tt0120082,6.3,221480,
"Scream 3",movie,"Horror, Mystery",2000,tt0134084,5.7,172911,
"Eat the Rich",movie,"Action, Comedy, Crime",1987,tt0092944,5.8,1655,
"The Kingdom",movie,"Action, Drama, Thriller",2007,tt0431197,7,134802,
Bordertown,movie,"Crime, Mystery, Thriller",2007,tt0445935,6,11668,
Monster-in-Law,movie,"Comedy, Romance",2005,tt0369735,5.6,67221,
"My Super Ex-Girlfriend",movie,"Comedy, Romance, Sci-Fi",2006,tt0465624,5.2,68121,
"The Devil's Own",movie,"Action, Crime, Drama",1997,tt0118972,6.2,74265,
"Jamón, Jamón",movie,"Comedy, Drama, Romance",1992,tt0104545,6.4,15684,
"The Assassination of Jesse James by the Coward Robert Ford",movie,"Biography, Crime, Drama",2007,tt0443680,7.5,197576,
"Lady Vengeance",movie,"Crime, Drama, Thriller",2005,tt0451094,7.5,88911,
"The Machinist",movie,"Drama, Thriller",2004,tt0361862,7.6,427862,
"The Story of O",movie,Drama,1975,tt0073115,5.3,7235,
"The Sensuous Nurse",movie,Comedy,1975,tt0074682,4.8,895,
"Gone Baby Gone",movie,"Crime, Drama, Mystery",2007,tt0452623,7.6,301286,
Obsession,movie,"Drama, Mystery, Thriller",1976,tt0074991,6.7,12631,
"The Jackal",movie,"Action, Crime, Drama",1997,tt0119395,6.4,128525,
"A Boy and His Dog",movie,"Comedy, Drama, Sci-Fi",1975,tt0072730,6.4,20068,
"The Curious Case of Benjamin Button",movie,"Drama, Fantasy, Romance",2008,tt0421715,7.8,718772,
"3:10 to Yuma",movie,"Action, Crime, Drama",2007,tt0381849,7.6,341938,
"The Polar Express",movie,"Adventure, Animation, Comedy",2004,tt0338348,6.6,256629,
Chaos,movie,"Action, Crime, Drama",2005,tt0402910,6.4,59226,
Teorema,movie,"Drama, Mystery",1968,tt0063678,7,15960,
"Lisa and the Devil",movie,"Horror, Mystery",1973,tt0068863,6.2,5684,
"Baron Blood",movie,Horror,1972,tt0069048,5.9,4492,
"A Bay of Blood",movie,"Horror, Mystery, Thriller",1971,tt0067656,6.5,13612,
"Le Samouraï",movie,"Crime, Drama, Thriller",1967,tt0062229,8,62089,
"Donkey Skin",movie,"Comedy, Fantasy, Musical",1970,tt0066207,7,6945,
"Sky High",movie,"Action, Adventure, Drama",2002,tt0398563,6.1,1523,
"The Towering Inferno",movie,"Action, Drama, Thriller",1974,tt0072308,7,50192,
Papillon,movie,"Biography, Crime, Drama",1973,tt0070511,8,141867,
"The Umbrellas of Cherbourg",movie,"Drama, Musical, Romance",1964,tt0058450,7.8,33027,
"The Family Man",movie,"Comedy, Drama, Fantasy",2000,tt0218967,6.8,125813,
"Coyote Ugly",movie,"Comedy, Drama, Music",2000,tt0200550,5.8,124354,
"Three Kings",movie,"Action, Adventure, Comedy",1999,tt0120188,7.1,183948,
"I Am Legend",movie,"Drama, Horror, Sci-Fi",2007,tt0480249,7.2,846217,
"27 Dresses",movie,"Comedy, Romance",2008,tt0988595,6.1,180472,
"Dan in Real Life",movie,"Comedy, Drama, Romance",2007,tt0480242,6.8,108903,
"The Man Without a Past",movie,"Comedy, Drama, Romance",2002,tt0311519,7.6,27606,
Equilibrium,movie,"Action, Drama, Sci-Fi",2002,tt0238380,7.3,354423,
"Running Scared",movie,"Action, Crime, Drama",2006,tt0404390,7.3,105073,
Juno,movie,"Comedy, Drama",2007,tt0467406,7.4,561201,
"Sleeping with the Enemy",movie,"Drama, Thriller",1991,tt0102945,6.3,68257,
xXx,movie,"Action, Adventure, Drama",2002,tt0295701,5.8,189759,
"The Hitchhiker's Guide to the Galaxy",movie,"Adventure, Comedy, Sci-Fi",2005,tt0371724,6.7,212255,
"Speed Racer",movie,"Action, Adventure, Comedy",2008,tt0811080,6.1,80440,
Shooter,movie,"Action, Drama, Thriller",2007,tt0822854,7.1,365458,
"Ghost Train",movie,Horror,2006,tt0819839,4.9,931,
"Fun with Dick and Jane",movie,"Comedy, Crime",2005,tt0369441,6.2,158185,
"10,000 BC",movie,"Action, Adventure, Drama",2008,tt0443649,5.1,137395,
Shine,movie,"Biography, Drama, Music",1996,tt0117631,7.6,57787,
"Before the Devil Knows You're Dead",movie,"Crime, Drama, Thriller",2007,tt0292963,7.3,116394,
"The Match Factory Girl",movie,"Comedy, Crime, Drama",1990,tt0098532,7.5,12706,
"The Three Burials of Melquiades Estrada",movie,"Adventure, Crime, Drama",2005,tt0419294,7.3,42506,
"Band of Outsiders",movie,"Comedy, Crime, Drama",1964,tt0057869,7.6,27932,
Alien³,movie,"Action, Horror, Sci-Fi",1992,tt0103644,6.4,339206,
"Alien Resurrection",movie,"Action, Horror, Sci-Fi",1997,tt0118583,6.2,280793,
"Napoleon Dynamite",movie,Comedy,2004,tt0374900,7,246077,
"A Guide to Recognizing Your Saints",movie,"Crime, Drama",2006,tt0473488,6.9,27451,
"Æon Flux",movie,"Action, Adventure, Sci-Fi",2005,tt0402022,5.4,134822,
"Drifting Clouds",movie,"Comedy, Drama",1996,tt0116752,7.6,9855,
Kika,movie,Comedy,1993,tt0107315,6.5,15563,
"Step Up 2: The Streets",movie,"Drama, Music, Romance",2008,tt1023481,6.2,92741,
REC,movie,"Horror, Mystery, Thriller",2007,tt1038988,7.4,206204,
"Cast Away",movie,"Adventure, Drama, Romance",2000,tt0162222,7.8,662507,
"Transformers: Revenge of the Fallen",movie,"Action, Adventure, Sci-Fi",2009,tt1055369,6,440324,
"The Boondock Saints",movie,"Action, Crime, Thriller",1999,tt0144117,7.6,256534,
"A Man Apart",movie,"Action, Crime, Drama",2003,tt0266465,6,50271,
"The Conformist",movie,Drama,1970,tt0065571,7.9,36643,
"Swallowtail Butterfly",movie,"Crime, Drama",1996,tt0117797,7.5,4640,
"Dangerous Beauty",movie,"Biography, Drama, Romance",1998,tt0118892,7.1,20173,
"Deep Impact",movie,"Action, Drama, Sci-Fi",1998,tt0120647,6.3,196402,
"K-19: The Widowmaker",movie,"Drama, History, Thriller",2002,tt0267626,6.7,69513,
Taken,movie,"Action, Crime, Thriller",2008,tt0936501,7.7,652999,
"Cannibals in the Streets",movie,"Drama, Fantasy, Horror",1980,tt0080379,5.5,4579,
"The Final Countdown",movie,"Action, Adventure, Sci-Fi",1980,tt0080736,6.7,28351,
"Hellraiser: Bloodline",movie,"Horror, Sci-Fi",1996,tt0116514,5.1,25699,
"The Road Warrior",movie,"Action, Adventure, Sci-Fi",1981,tt0082694,7.6,207025,
"Conspiracy Theory",movie,"Action, Drama, Mystery",1997,tt0118883,6.7,110289,
