title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Final Cut",movie,"Drama, Sci-Fi, Thriller",2004,tt0364343,6.1,35175,
Stalingrad,movie,"Drama, War",1993,tt0108211,7.5,38947,
"Vera Drake",movie,"Crime, Drama",2004,tt0383694,7.6,27787,
"My Fair Lady",movie,"Drama, Family, Musical",1964,tt0058385,7.7,104669,
Tess,movie,"Drama, Romance",1979,tt0080009,7.3,18987,
"The Prince and Me",movie,"Comedy, Family, Romance",2004,tt0337697,5.9,42665,
"The Ruins",movie,"Adventure, Horror, Thriller",2008,tt0963794,5.9,87328,
She-Devil,movie,Comedy,1989,tt0098309,5.7,20140,
"Peeping Tom",movie,"Drama, Horror, Thriller",1960,tt0054167,7.6,41756,
"The Alamo",movie,"Adventure, Drama, History",1960,tt0053580,6.8,18604,
"Best Defense",movie,"Comedy, War",1984,tt0086955,3.8,6570,
"The American Friend",movie,"Crime, Drama, Mystery",1977,tt0075675,7.4,19842,
Freeway,movie,"Crime, Drama, Thriller",1996,tt0116361,6.8,33090,
"My Beautiful Laundrette",movie,"Comedy, Drama, Romance",1985,tt0091578,6.8,17930,
"The Care Bears Movie",movie,"Adventure, Animation, Comedy",1985,tt0088885,5.6,6087,
"Hellraiser: Hellseeker",movie,"Horror, Mystery, Thriller",2002,tt0274546,4.8,15122,
"A Room with a View",movie,"Drama, Romance",1985,tt0091867,7.2,50136,
"Far and Away",movie,"Adventure, Drama, Romance",1992,tt0104231,6.6,70180,
"Harold & Kumar Go to White Castle",movie,"Adventure, Comedy",2004,tt0366551,7,210864,
"Nanny McPhee",movie,"Comedy, Family, Fantasy",2005,tt0396752,6.6,88415,
"Paper Moon",movie,"Comedy, Crime, Drama",1973,tt0070510,8.1,54712,
"Something Wild",movie,"Comedy, Crime, Romance",1986,tt0091983,6.9,22334,
"Mystery Train",movie,"Comedy, Crime, Drama",1989,tt0097940,7.5,31835,
"Public Enemies",movie,"Biography, Crime, Drama",2009,tt1152836,6.9,327621,
"Shutter Island",movie,"Drama, Mystery, Thriller",2010,tt1130884,8.2,1538805,
"Runaway Jury",movie,"Crime, Drama, Thriller",2003,tt0313542,7.1,113010,
"Super Fuzz",movie,"Action, Comedy, Fantasy",1980,tt0082924,6.3,8623,
"Banana Joe",movie,"Action, Comedy",1982,tt0082045,6.3,9273,
"A Bittersweet Life",movie,"Action, Crime, Drama",2005,tt0456912,7.5,44685,
Fragile,movie,"Horror, Mystery, Thriller",2005,tt0422272,6,17995,
Bowfinger,movie,Comedy,1999,tt0131325,6.5,75891,
"The Odd Couple",movie,Comedy,1968,tt0063374,7.6,38739,
"Halloween 4: The Return of Michael Myers",movie,"Horror, Thriller",1988,tt0095271,5.8,61399,
"Walking Tall",movie,"Action, Crime",2004,tt0351977,6.3,111986,
"Halloween 5: The Revenge of Michael Myers",movie,"Horror, Thriller",1989,tt0097474,4.9,49336,
"Odds and Evens",movie,"Action, Comedy, Crime",1978,tt0078058,7.1,10548,
"The Score",movie,"Crime, Drama, Thriller",2001,tt0227445,6.8,138590,
"The Eagle Has Landed",movie,"Adventure, Drama, Thriller",1976,tt0074452,6.9,25745,
Edtv,movie,"Comedy, Drama",1999,tt0131369,6.1,45773,
Traffic,movie,Comedy,1971,tt0069400,7,7863,
